Individual,Session,Trial,Results
Teco,39,3,f
Teco,39,4,f
Teco,39,5,f
Teco,39,6,f
Teco,39,7,f
Teco,39,8,f
Teco,39,9,f
Teco,39,10,f
Teco,40,1,f
Teco,40,2,f
Teco,40,3,f
Teco,40,4,f
Teco,40,5,f
Teco,40,6,f
Teco,40,7,f
Teco,40,8,f
Teco,40,9,f
Teco,40,10,f
Teco,41,1,f
Teco,41,2,f
Teco,41,3,f
Teco,41,4,f
Teco,41,5,f
Teco,41,6,f
Teco,41,7,f
Teco,41,8,f
Teco,41,9,f
Teco,41,10,f
Teco,42,1,f
Teco,42,2,f
Teco,42,3,f
Teco,42,4,f
Teco,42,5,f
Teco,42,6,f
Teco,42,7,f
Teco,42,8,f
Teco,42,9,f
Teco,42,10,f
