ID,Species,Weight,Length,Width,Thickness,Analyst,Volume,Weight/Volume,Note
212,Bonobo,1130.4,162,114.9,68,CL,1265738.4,0.000893076,
213,Bonobo,1210.7,140,118,90,CL,1486800,0.000814299,
214,Bonobo,1452.3,167,112.5,102.7,CL,1929476.25,0.000752691,
215,Bonobo,1239.1,149.1,129.8,85.4,CL,1652761.572,0.000749715,
216,Bonobo,1658.9,208,137,81,CL,2308176,0.000718706,
217,Bonobo,1258.8,176,110,73,CL,1413280,0.000890694,
218,Bonobo,903.4,133,123,67.3,CL,1100960.7,0.000820556,
219,Bonobo,1026.4,151,113.7,68,CL,1167471.6,0.000879165,
220,Bonobo,562.5,119.2,108.6,51.3,CL,664084.656,0.000847031,
221,Bonobo,2271.2,183.5,128.9,101.7,CL,2405525.355,0.00094416,
222,Bonobo,1902.7,215,150.5,87.22,CL,2822221.15,0.000674185,
223,Bonobo,1546.7,165,129.2,93.8,CL,1999628.4,0.000773494,
224,Bonobo,666.7,134.6,88.9,62.9,CL,752657.626,0.000885795,
225,Bonobo,612.7,140.9,114.7,61.2,CL,989067.276,0.000619473,
226,Bonobo,1210.7,170.7,145.9,80.8,CL,2012334.504,0.00060164,
227,Bonobo,1573.4,158.3,126.8,82.3,CL,1651961.812,0.000952443,
228,Bonobo,1817.9,155.3,150.1,93.9,CL,2188858.767,0.000830524,
229,Bonobo,644.6,117.8,104.2,75.4,CL,925516.904,0.000696476,
230,Bonobo,698.6,131,104.7,86.7,CL,1189151.19,0.000587478,
231,Bonobo,1758.3,160.2,147.5,90.9,CL,2147921.55,0.000818605,
232,Bonobo,1977,161.1,122.4,118.6,CL,2338630.704,0.000845366,
233,Bonobo,1547.7,145.6,134.6,70.3,CL,1377722.528,0.001123376,
234,Bonobo,1095.4,132.4,116.7,82.4,CL,1273168.992,0.000860373,
235,Bonobo,948.1,165.2,98.2,79.1,CL,1283210.824,0.00073885,
236,Bonobo,1336.9,171.6,134.1,83.5,CL,1921465.26,0.000695771,
237,Bonobo,1088.3,158.1,119.9,90.4,CL,1713639.576,0.000635081,
238,Bonobo,1408.9,168.8,125.3,88.6,CL,1873946.704,0.000751836,
239,Bonobo,919.6,149.9,120,86,CL,1546968,0.000594453,
240,Bonobo,562.9,131.4,80.2,48.9,CL,515321.892,0.001092327,
241,Bonobo,1778.1,177.9,146.3,93.4,CL,2430900.318,0.000731457,
242,Bonobo,967,136.4,87.4,86,CL,1025236.96,0.000943197,
243,Bonobo,888.8,180.8,96.9,65.9,CL,1154536.368,0.000769833,
244,Bonobo,1134.9,139.2,108.8,89.1,CL,1349415.936,0.000841031,
245,Bonobo,1797.6,190.5,110.1,81.9,CL,1717774.695,0.00104647,
246,Bonobo,896.4,122.4,104.1,86.3,CL,1099620.792,0.00081519,
247,Bonobo,853.4,150,121,67.3,CL,1221495,0.000698652,
248,Bonobo,1109.3,156.6,109.2,102.7,CL,1756243.944,0.000631632,
249,Bonobo,1115.6,129.1,125.1,74,CL,1195130.34,0.000933455,
250,Bonobo,1398.8,173.6,90.6,104.8,CL,1648311.168,0.000848626,
251,Bonobo,895.8,156.2,108.1,64.9,CL,1095850.778,0.000817447,
